date,tc=0_tv=0.1,tc=0.001_tv=0.1,tc=0.0025_tv=0.1,tc=0.005_tv=0.1,tc=0_tv=0.15,tc=0.001_tv=0.15,tc=0.0025_tv=0.15,tc=0.005_tv=0.15,tc=0_tv=0.2,tc=0.001_tv=0.2,tc=0.0025_tv=0.2,tc=0.005_tv=0.2,tc=0_tv=0.25,tc=0.001_tv=0.25,tc=0.0025_tv=0.25,tc=0.005_tv=0.25,tc=0_tv=inf,tc=0.001_tv=inf,tc=0.0025_tv=inf,tc=0.005_tv=inf
2018-02-05,-0.03794304524310377,-0.03840417325259904,-0.0390955701962169,-0.040247111889160414,-0.05463798121141217,-0.05500910009087734,-0.05556569670850209,-0.05649313989270033,-0.062462997646949736,-0.06262252937881663,-0.06286179689441773,-0.06326049587680305,-0.06590439633102085,-0.06598551869300096,-0.06610719175517421,-0.06630995224579084,-0.06590439633102085,-0.06598551869300096,-0.06610719175517421,-0.06630995224579084
2018-02-06,-0.02676740740705119,-0.027308308313380825,-0.02811922740953654,-0.029469607150738764,-0.03816542702368664,-0.03865270933523768,-0.03938338814966247,-0.04060053391853846,-0.040681389095835074,-0.04098971126174933,-0.04145207114701721,-0.042222342057382733,-0.03877732729618555,-0.03892486643219595,-0.03914614348818091,-0.03951485419884759,-0.03678490857988437,-0.036878835207143856,-0.03701971099410817,-0.03725446623264972
2018-02-07,-0.032783587247026014,-0.033325517863761256,-0.03413797508258798,-0.03549090120249743,-0.0470840089917145,-0.04757325653646338,-0.04830687314956339,-0.049528888467154086,-0.052541726143647605,-0.052854860142178106,-0.053324428907351895,-0.054106690980751604,-0.053632174198302573,-0.05378823609434924,-0.05402229156138694,-0.05441228435102574,-0.05268414655111753,-0.05278686535367194,-0.0529409258551895,-0.053197646157574385
2018-02-08,-0.045170612780815356,-0.04575942867287375,-0.04664210632640797,-0.04811178021276996,-0.06538983159233391,-0.0659492291093643,-0.06678792239103781,-0.0681846703302349,-0.0768096969425589,-0.0772202869945583,-0.07783591249585475,-0.07886126307269314,-0.0839322246006633,-0.08421500564384732,-0.08463905957505813,-0.08534550252305895,-0.0907377016668438,-0.09084451011562245,-0.09100470245688774,-0.0912716354817541
2018-02-09,-0.042244008696403434,-0.04284196171353172,-0.043738326424375806,-0.04523076245098645,-0.061092884976309714,-0.06166562022031119,-0.06252429407273752,-0.06395427364130324,-0.07115043980660929,-0.07157772807526974,-0.07221837565803191,-0.0732853624427906,-0.07691273051887326,-0.07721527061062738,-0.07766894184815443,-0.0784246902933542,-0.08219418867354455,-0.08231046688266341,-0.08248485994406662,-0.08277545038410183
2018-02-12,-0.035158890135940424,-0.03577447094558417,-0.03669724225267912,-0.03823359580430974,-0.05067436248058932,-0.05127287006661729,-0.05217015325005936,-0.05366435067564246,-0.05740788049388368,-0.05786710647858617,-0.05855561223153416,-0.05970223366593874,-0.05984109952592598,-0.06018106023237613,-0.06069082070706977,-0.0615399401205432,-0.06046125490948118,-0.0605910067808102,-0.06078560466818239,-0.061109854709267
2018-02-13,-0.033017937152731824,-0.033647804831082095,-0.03459197419652438,-0.03616390530244329,-0.047514575545354765,-0.04813414508214697,-0.04906297451058561,-0.05060962465832719,-0.05322471418893626,-0.05371122792188665,-0.054440617687451676,-0.05565525230452306,-0.05462563974171397,-0.05499897099924034,-0.055558743605363614,-0.05649110013237102,-0.05406230362635378,-0.05420675270608444,-0.05442338904864208,-0.05478435023455386
2018-02-14,-0.025123287969783803,-0.025769542165558268,-0.02673825868103552,-0.0283510148088304,-0.03585013227357414,-0.03649390263502039,-0.03745898634435363,-0.039065935208884905,-0.037765360755729116,-0.038281839876539214,-0.039056129070830226,-0.04034546645493131,-0.03533004159272313,-0.03573848201065577,-0.03635087307144791,-0.03737080635273193,-0.029480886122553285,-0.029638011542871268,-0.029873656318232356,-0.030266282022494262
2018-02-15,-0.02029646891802117,-0.020954743471492843,-0.021941465305322927,-0.023584163135368152,-0.028689569979592267,-0.02935120678414005,-0.030343053144465615,-0.03199450783441726,-0.028236909759504658,-0.028775917937465145,-0.029583961412707804,-0.03092945122948476,-0.02338933340766869,-0.02382465540983114,-0.024477330856848556,-0.025564303560578372,-0.014613897485964644,-0.014781150214141614,-0.015031980600075379,-0.01544990139037461
2018-02-16,-0.023022504632998375,-0.02368945101757447,-0.024689156053374073,-0.026353427195512147,-0.03274359270977678,-0.03341808810811664,-0.03442918499723391,-0.036112624396440585,-0.03364479246370722,-0.034201640208099016,-0.035036402297177416,-0.03642631463774626,-0.030182907872533082,-0.030641383399033773,-0.03132874750890935,-0.032473423761189,-0.022824731310032376,-0.023003037455756048,-0.02327044045150184,-0.023715962222078724
2018-02-20,-0.022061420796622655,-0.022745739061119097,-0.023771458423059055,-0.025478970956612224,-0.03131631137051494,-0.03201662587650955,-0.03306638555591357,-0.034814087505226965,-0.031743523755748626,-0.03233453867854896,-0.03322047907137016,-0.03469549558216656,-0.027797808072628438,-0.02829890303371163,-0.029050121882826296,-0.030301024467324522,-0.02008640121960359,-0.020270288145991078,-0.020546058678440615,-0.02100551665608552
2018-02-21,-0.020983914671984016,-0.02168656366006283,-0.02273973215111924,-0.024492868200009066,-0.02971534793140085,-0.030442934843147085,-0.03153353115130009,-0.03334910246039968,-0.029609847253847854,-0.030236973092907404,-0.031176998905743436,-0.03274194218639803,-0.025119843836259204,-0.0256660112157282,-0.02648475308001441,-0.02784796597923167,-0.01716063541667634,-0.017354448342254747,-0.017645101096296245,-0.018129344711839024
